Team_1,Team_2,Winner,Margin,Ground,Match_Date,Scorecard
GT,CSK,CSK,5 wickets,Ahmedabad,"May 28-29, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/gujarat-titans-vs-chennai-super-kings-final-1370353/full-scorecard
GT,MI,GT,62 runs,Ahmedabad,"May 26, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/gujarat-titans-vs-mumbai-indians-qualifier-2-1370352/full-scorecard
LSG,MI,MI,81 runs,Chennai,"May 24, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/lucknow-super-giants-vs-mumbai-indians-eliminator-1370351/full-scorecard
CSK,GT,CSK,15 runs,Chennai,"May 23, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/chennai-super-kings-vs-gujarat-titans-qualifier-1-1370350/full-scorecard
RCB,GT,GT,6 wickets,Bengaluru,"May 21, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/royal-challengers-bangalore-vs-gujarat-titans-70th-match-1359544/full-scorecard
MI,SRH,MI,8 wickets,Wankhede,"May 21, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/mumbai-indians-vs-sunrisers-hyderabad-69th-match-1359543/full-scorecard
KKR,LSG,LSG,1 run,Eden Gardens,"May 20, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/kolkata-knight-riders-vs-lucknow-super-giants-68th-match-1359542/full-scorecard
DC,CSK,CSK,77 runs,Delhi,"May 20, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/delhi-capitals-vs-chennai-super-kings-67th-match-1359541/full-scorecard
Punjab Kings,RR,RR,4 wickets,Dharamsala,"May 19, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/punjab-kings-vs-rajasthan-royals-66th-match-1359540/full-scorecard
SRH,RCB,RCB,8 wickets,Hyderabad,"May 18, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/sunrisers-hyderabad-vs-royal-challengers-bangalore-65th-match-1359539/full-scorecard
Punjab Kings,DC,DC,15 runs,Dharamsala,"May 17, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/punjab-kings-vs-delhi-capitals-64th-match-1359538/full-scorecard
LSG,MI,LSG,5 runs,Lucknow,"May 16, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/lucknow-super-giants-vs-mumbai-indians-63rd-match-1359537/full-scorecard
GT,SRH,GT,34 runs,Ahmedabad,"May 15, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/gujarat-titans-vs-sunrisers-hyderabad-62nd-match-1359536/full-scorecard
CSK,KKR,KKR,6 wickets,Chennai,"May 14, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/chennai-super-kings-vs-kolkata-knight-riders-61st-match-1359535/full-scorecard
RR,RCB,RCB,112 runs,Jaipur,"May 14, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/rajasthan-royals-vs-royal-challengers-bangalore-60th-match-1359534/full-scorecard
DC,Punjab Kings,Punjab Kings,31 runs,Delhi,"May 13, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/delhi-capitals-vs-punjab-kings-59th-match-1359533/full-scorecard
SRH,LSG,LSG,7 wickets,Hyderabad,"May 13, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/sunrisers-hyderabad-vs-lucknow-super-giants-58th-match-1359532/full-scorecard
MI,GT,MI,27 runs,Wankhede,"May 12, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/mumbai-indians-vs-gujarat-titans-57th-match-1359531/full-scorecard
KKR,RR,RR,9 wickets,Eden Gardens,"May 11, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/kolkata-knight-riders-vs-rajasthan-royals-56th-match-1359530/full-scorecard
CSK,DC,CSK,27 runs,Chennai,"May 10, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/chennai-super-kings-vs-delhi-capitals-55th-match-1359529/full-scorecard
MI,RCB,MI,6 wickets,Wankhede,"May 9, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/mumbai-indians-vs-royal-challengers-bangalore-54th-match-1359528/full-scorecard
KKR,Punjab Kings,KKR,5 wickets,Eden Gardens,"May 8, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/kolkata-knight-riders-vs-punjab-kings-53rd-match-1359527/full-scorecard
RR,SRH,SRH,4 wickets,Jaipur,"May 7, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/rajasthan-royals-vs-sunrisers-hyderabad-52nd-match-1359526/full-scorecard
GT,LSG,GT,56 runs,Ahmedabad,"May 7, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/gujarat-titans-vs-lucknow-super-giants-51st-match-1359525/full-scorecard
DC,RCB,DC,7 wickets,Delhi,"May 6, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/delhi-capitals-vs-royal-challengers-bangalore-50th-match-1359524/full-scorecard
CSK,MI,CSK,6 wickets,Chennai,"May 6, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/chennai-super-kings-vs-mumbai-indians-49th-match-1359523/full-scorecard
RR,GT,GT,9 wickets,Jaipur,"May 5, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/rajasthan-royals-vs-gujarat-titans-48th-match-1359522/full-scorecard
SRH,KKR,KKR,5 runs,Hyderabad,"May 4, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/sunrisers-hyderabad-vs-kolkata-knight-riders-47th-match-1359521/full-scorecard
Punjab Kings,MI,MI,6 wickets,Mohali,"May 3, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/punjab-kings-vs-mumbai-indians-46th-match-1359520/full-scorecard
LSG,CSK,no result,-,Lucknow,"May 3, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/lucknow-super-giants-vs-chennai-super-kings-45th-match-1359519/full-scorecard
